WKT,color
"LINESTRING (11.082674875620 49.441323431804,11.082519999608 49.441460866352)",ff0aff04
"LINESTRING (10.568911894920 50.093722265045,10.568053063941 50.093509767116)",ff6a6aff
"LINESTRING (10.568911894920 50.093722265045,10.56872951646 50.093639112844)",ff53acff
"LINESTRING (9.2894685298446 50.014171816492,9.2894900665691 50.014342992534)",ff0aff04
"LINESTRING (11.025300449069 49.464601375683,11.025069347900 49.466837450811)",ff1e1eff
"LINESTRING (9.2894900665691 50.014342992534,9.2894685298446 50.014171816492)",ff0aff04
"LINESTRING (9.2971210015227 50.011693384122,9.2971075832894 50.011760261754)",ff0aff04
"LINESTRING (9.2971210015227 50.011693384122,9.2968875774726 50.011694480664)",ff53acff
"LINESTRING (10.251037815366 50.067609521869,10.251386531287 50.067659208272)",ff0aff04
"LINESTRING (11.055931268830 49.446185319299,11.055832553918 49.446179794221)",ff0aff04
"LINESTRING (11.055931268830 49.446185319299,11.068540376529 49.457039518615)",ff0aff04
"LINESTRING (11.055931268830 49.446185319299,11.055852987290 49.446214623155)",ff0aff04
"LINESTRING (11.055931268830 49.446185319299,11.053242359663 49.450239142540)",ff53acff
"LINESTRING (11.055931268830 49.446185319299,11.055853520702 49.446146658295)",ff0aff04
"LINESTRING (9.2968875774726 50.011694480664,9.2971210015227 50.011693384122)",ff0aff04
"LINESTRING (9.2971075832894 50.011760261754,9.2971210015227 50.011693384122)",ff0aff04
"LINESTRING (11.244030365864 49.730285680305,11.245163919204 49.731102466268)",ff0aff04
"LINESTRING (11.245163919204 49.731102466268,11.244030365864 49.730285680305)",ff0aff04
"LINESTRING (11.183526439835 49.785386061666,11.183690169571 49.785292369703)",ff0aff04
"LINESTRING (11.183526439835 49.785386061666,11.183464799335 49.785295803565)",ff7cff79
"LINESTRING (60.714322132106 80.530168460601,60.831106154415 80.622391278514)",ff0aff04
"LINESTRING (11.100320530040 49.463890006427,11.100010684593 49.463907471524)",ff0aff04
"LINESTRING (11.021630480652 49.551938733518,11.023405500701 49.552979880411)",ff0aff04
"LINESTRING (11.021630480652 49.551938733518,11.021577578889 49.551923699297)",ff7cff79
"LINESTRING (10.990082944091 49.467561371871,10.990623154452 49.467673883805)",ff6a6aff
"LINESTRING (10.990082944091 49.467561371871,10.990069035763 49.467614031359)",ff53acff
"LINESTRING (10.990082944091 49.467561371871,10.990662452157 49.466924884762)",ff1e1eff
"LINESTRING (10.567643579385 50.093910159678,10.566720565257 50.093631607291)",ff6a6aff
"LINESTRING (10.567643579385 50.093910159678,10.568013390003 50.093555895082)",ff53acff
"LINESTRING (10.567643579385 50.093910159678,10.566752737393 50.09362473359)",ff53acff
"LINESTRING (11.920661993843 50.309726714928,11.920697633728 50.309767138930)",ff6a6aff
"LINESTRING (11.920661993843 50.309726714928,11.920656622240 50.309831557811)",ff6a6aff
"LINESTRING (11.920661993843 50.309726714928,11.920712498368 50.309814137687)",ff6a6aff
"LINESTRING (11.920661993843 50.309726714928,11.920686184034 50.309726227797)",ff6a6aff
"LINESTRING (10.078174930954 49.139312572247,10.078141010440 49.139362579462)",ff7cff79
"LINESTRING (10.078174930954 49.139312572247,10.078261480686 49.139316214553)",ff0aff04
"LINESTRING (10.078174930954 49.139312572247,10.078261480686 49.139316214553)",ff0aff04
"LINESTRING (10.078174930954 49.139312572247,10.078316024579 49.139406582068)",ff0aff04
"LINESTRING (10.065296958734 49.143770734612,10.065375429536 49.143855438348)",ff4949ff
"LINESTRING (10.251386531287 50.067659208272,10.251037815366 50.067609521869)",ff0aff04
"LINESTRING (10.078141010440 49.139362579462,10.078316024579 49.139406582068)",ff0aff04
"LINESTRING (10.065375429536 49.143855438348,10.065296958734 49.143770734612)",ff79ebff
"LINESTRING (11.075663036431 49.455889326286,11.075650869508 49.455823396849)",ff53acff
"LINESTRING (11.075650869508 49.455823396849,11.075663036431 49.455889326286)",ff79ebff
"LINESTRING (11.075650869508 49.455823396849,11.074909245901 49.455830656882)",ff7cff79
"LINESTRING (11.327319619653 49.198486843110,11.327209742509 49.198556231336)",ff0aff04
